ID,StationNumber,RowNumber,ProcessName,CriticalStatus,Distance,ProjectID,CensorDistance,FlightBar
624,42,2,,,10601,5,,0
625,41,2,,,11813,5,,0
626,40,2,,,12773,5,,0
627,39,2,,,14108,5,,0
628,38,2,,,15739,5,,0
629,37,2,,,17546,5,,0
630,36,2,,,19067,5,,0
631,35,2,,,20056,5,,0
632,34,2,,,21409,5,,0
633,33,2,,,23023,5,,0
634,32,2,,,24805,5,,0
635,31,2,,,26608,5,,0
636,30,2,,,28386,5,,0
7,6,1,Rinse-2,,3740,2,1767046911,0
637,29,2,,,30205,5,,0
638,28,2,,,32010,5,,0
639,27,2,,,33818,5,,0
640,26,2,,,35622,5,,0
641,25,2,,,37404,5,,0
642,24,2,,,41811,5,,0
643,23,1,,,37579,5,,0
644,22,1,,,36655,5,,0
645,21,1,,,35333,5,,0
646,20,1,,,33991,5,,0
647,19,1,,,33035,5,,0
648,18,1,,,32087,5,,0
649,17,1,,,30560,5,,0
650,16,1,,,29441,5,,0
651,15,1,,,28087,5,,0
652,14,1,,,27130,5,,0
653,13,1,,,25792,5,,0
654,12,1,,,24458,5,,0
655,11,1,,,23409,5,,0
656,10,1,,,22517,5,,0
657,9,1,,,21008,5,,0
658,8,1,,,19280,5,,0
659,7,1,,,17676,5,,0
660,6,1,,,16125,5,,0
661,5,1,,,12940,5,,0
662,4,1,Loading 4,,10407,5,,0
663,3,1,Loading 3,,7787,5,,0
664,2,1,Loading 2,,5246,5,,0
665,1,1,Loading 1,,0,5,,0
666,24,1,,,41811,5,,0
667,48,2,,,0,5,,0
790,60,2,Cross Trolley,,0,6,,0
791,59,2,Water Rinse - 2,,1150,6,,1
792,58,2,Water Rinse - 1,,2300,6,,0
793,57,2,Nitric-2,,3450,6,,0
794,56,2,Nitric-1,,4600,6,,1
795,55,2,Water Rinse - 2,,5750,6,,0
796,54,2,Water Rinse - 1,,6900,6,,0
797,53,2,Stripping,,8050,6,,0
798,52,2,Unloading,,9200,6,,0
799,51,2,Dryer - 2,,10350,6,,0
800,50,2,Dryer - 1,,11500,6,,0
801,49,2,Chrome Neutraliser - 2,,12650,6,,0
802,48,2,Chrome Neutraliser - 1,,13800,6,,0
803,47,2,Water Rinse - 2,,14950,6,,0
804,46,2,Water Rinse - 1,,16100,6,,0
805,45,2,Dragout,,17250,6,,0
806,44,2,Bright Chrome,,18400,6,,0
807,43,2,Chrome Activation,,19550,6,,1
808,42,2,Water Rinse - 3,,20700,6,,1
809,41,2,Water Rinse - 2,,21850,6,,0
810,40,2,Water Rinse - 1,,23000,6,,0
9,8,1,Rinse-1,,5105,2,1767046911,0
811,39,2,Dragout,,24150,6,,1
812,38,2,MPS Nickel,,25300,6,,0
813,37,2,Dragout,,26450,6,,1
814,36,2,Bright Nickel,,27600,6,,0
