project_id,wagon_no,step_no,command,station_no,wait_sec,critical_status,total_time_sec,valid
Shree_Vinayak,"Wagon 3",21,"Put On",18,50,,13600,TRUE
Shree_Vinayak,"Wagon 3",22,"Wait For Sec",10,20,Low,7200,TRUE
Shree_Vinayak,"Wagon 3",24,"Wait For Sec",5,25,High,3200,TRUE
Shree_Vinayak,"Wagon 3",25,"Put On",19,50,Low,14400,TRUE
Shree_Vinayak,"Wagon 3",27,"Set Int",8,12,High,5600,TRUE
Shree_Vinayak,"Wagon 3",28,"Put On",15,45,,11200,TRUE
Shree_Vinayak,"Wagon 4",3,"Put On",35,65,,27200,TRUE
Shree_Vinayak,"Wagon 4",4,"Set Int",7,25,Low,4800,TRUE
Shree_Vinayak,"Wagon 4",5,"Wait For Sec",10,20,Low,7200,TRUE
Shree_Vinayak,"Wagon 4",8,"Put On",36,75,,28000,TRUE
Shree_Vinayak,"Wagon 4",9,"Get From",39,20,,30400,TRUE
Shree_Vinayak,"Wagon 4",10,"Put On",35,65,,27200,TRUE
Shree_Vinayak,"Wagon 4",13,"Put On",39,20,,30400,TRUE
Shree_Vinayak,"Wagon 4",14,"Get From",35,65,,27200,TRUE
Shree_Vinayak,"Wagon 4",15,"Set CT Fwd",1,0,High,0,TRUE
Shree_Vinayak,"Wagon 4",18,"Put On",20,40,Low,15200,TRUE
Shree_Vinayak,"Wagon 5",1,"Get From",40,20,,30400,TRUE
Shree_Vinayak,"Wagon 5",2,"Put On",42,50,,28800,TRUE
Shree_Vinayak,"Wagon 5",4,"Get From",43,50,,28000,TRUE
Shree_Vinayak,"Wagon 5",5,"Put On",40,20,,30400,TRUE
Shree_Vinayak,"Wagon 5",6,"Get From",40,20,,30400,TRUE
Shree_Vinayak,"Wagon 5",9,"Get From",50,20,,22400,TRUE
Shree_Vinayak,"Wagon 5",10,"Put On",43,50,,28000,TRUE
Shree_Vinayak,"Wagon 5",11,"Get From",42,50,,28800,TRUE
Shree_Vinayak,"Wagon 5",12,"Put On",45,12,,26400,TRUE
Shree_Vinayak,"Wagon 5",13,"Get From",45,12,,26400,TRUE
Shree_Vinayak,"Wagon 6",2,"Set Int",9,15,High,6400,TRUE
Shree_Vinayak,"Wagon 6",3,"Put On",46,15,,25600,TRUE
Shree_Vinayak,"Wagon 6",5,"Get From",46,15,,25600,TRUE
Shree_Vinayak,"Wagon 6",6,"Put On",48,35,,24000,TRUE
Shree_Vinayak,"Wagon 6",8,"Get From",48,35,,24000,TRUE
Shree_Vinayak,"Wagon 6",9,"Put On",49,15,,23200,TRUE
Shree_Vinayak,"Wagon 6",11,"Get From",49,15,,23200,TRUE
Shree_Vinayak,"Wagon 6",12,"Put On",51,52,,21600,TRUE
Shree_Vinayak,"Wagon 6",14,"Get From",51,52,,21600,TRUE
Shree_Vinayak,"Wagon 6",15,"Put On",52,65,,20800,TRUE
Shree_Vinayak,"Wagon 6",17,"Get From",52,65,,20800,TRUE
Shree_Vinayak,"Wagon 6",18,"Put On",53,60,,20000,TRUE
Shree_Vinayak,"Wagon 6",20,"Get From",53,60,,20000,TRUE
Shree_Vinayak,"Wagon 6",21,"Put On",54,40,,19200,TRUE
Shree_Vinayak,"Wagon 6",22,"Wait For Sec",10,20,Low,7200,TRUE
Shree_Vinayak,"Wagon 6",25,"Put On",61,25,Low,13600,TRUE
Shree_Vinayak,"Wagon 6",28,"Put On",50,20,,22400,TRUE
Shree_Vinayak,"Wagon 7",1,"Get From",60,12,Medium,14400,TRUE
Shree_Vinayak,"Wagon 7",2,"Put On",59,30,Low,15200,TRUE
Shree_Vinayak,"Wagon 7",3,"Get From",66,10,Low,9600,TRUE
Shree_Vinayak,"Wagon 7",4,"Put On",60,12,Medium,14400,TRUE
Shree_Vinayak,"Wagon 7",5,"Get From",64,10,Low,11200,TRUE
Shree_Vinayak,"Wagon 7",6,"Put On",66,10,Low,9600,TRUE
Shree_Vinayak,"Wagon 7",7,"Get From",61,25,Low,13600,TRUE
Shree_Vinayak,"Wagon 7",8,"Put On",62,20,High,12800,TRUE
Shree_Vinayak,"Wagon 7",10,"Get From",62,20,High,12800,TRUE
Shree_Vinayak,"Wagon 7",11,"Put On",64,10,Low,11200,TRUE
Osho,"Wagon 2",1,"Get From",14,50,,10400,TRUE
Osho,"Wagon 2",2,"Put On",13,50,,9600,TRUE
Osho,"Wagon 2",3,"Get From",13,50,,9600,TRUE
Osho,"Wagon 2",4,"Put On",12,50,,8800,TRUE
Osho,"Wagon 2",5,"Get From",12,50,,8800,TRUE
Osho,"Wagon 2",6,"Put On",11,50,Low,8000,TRUE
Osho,"Wagon 2",7,"Wait For Int",11,50,Low,8000,TRUE
Osho,"Wagon 2",8,"Set Int",5,50,High,3200,TRUE
Osho,"Wagon 2",9,"Put On",19,50,Low,14400,TRUE
Osho,"Wagon 2",10,"Wait For Int",4,50,High,2400,TRUE
Osho,"Wagon 2",11,"Get From",11,50,Low,8000,TRUE
Osho,"Wagon 2",12,"Put On",10,50,Low,7200,TRUE
Osho,"Wagon 2",13,"Wait For Sec",10,50,Low,7200,TRUE
Osho,"Wagon 2",14,"Get From",10,50,Low,7200,TRUE
Osho,"Wagon 2",15,"Put On",9,50,High,6400,TRUE
Osho,"Wagon 2",16,"Wait For Int",6,50,High,4000,TRUE
Osho,"Wagon 2",17,"Get From",8,50,High,5600,TRUE
Osho,"Wagon 2",18,"Wait For Int",9,50,High,6400,TRUE
Osho,"Wagon 2",19,"Get From",6,50,High,4000,TRUE
Osho,"Wagon 2",20,"Put On",6,50,High,4000,TRUE
Osho,"Wagon 2",21,"Set Int",8,50,High,5600,TRUE
Osho,"Wagon 2",22,"Put On",12,50,,8800,TRUE
Osho,"Wagon 3",1,"Get From",18,50,,13600,TRUE
Osho,"Wagon 3",2,"Put On",19,50,Low,14400,TRUE
Osho,"Wagon 3",3,"Get From",17,50,,12800,TRUE
Osho,"Wagon 3",4,"Put On",18,50,,13600,TRUE
Osho,"Wagon 3",5,"Get From",19,50,Low,14400,TRUE
Osho,"Wagon 3",6,"Put On",20,50,Low,15200,TRUE
Osho,"Wagon 3",7,"Set Int",11,50,Low,8000,TRUE
Osho,"Wagon 3",8,"Get From",21,50,Low,16000,TRUE
Osho,"Wagon 3",9,"Put On",22,50,,16800,TRUE
Osho,"Wagon 3",10,"Get From",22,50,,16800,TRUE
Osho,"Wagon 3",11,"Put On",23,50,,17600,TRUE
Osho,"Wagon 3",12,"Wait For Int",16,50,,12000,TRUE
Osho,"Wagon 3",13,"Get From",23,50,,17600,TRUE
Osho,"Wagon 3",14,"Put On",24,50,,18400,TRUE
Osho,"Wagon 3",15,"Wait For Int",7,50,Low,4800,TRUE
Osho,"Wagon 3",16,"Get From",30,50,,23200,TRUE
Osho,"Wagon 3",17,"Set Int",12,50,,8800,TRUE
Osho,"Wagon 3",18,"Put On",16,50,,12000,TRUE
Osho,"Wagon 3",19,"Wait For Sec",36,50,,28000,TRUE
Osho,"Wagon 3",20,"Get From",16,50,,12000,TRUE
Osho,"Wagon 3",21,"Put On",14,50,,10400,TRUE
Osho,"Wagon 3",22,"Put On",20,50,Low,15200,TRUE
Osho,"Wagon 4",1,"Get From",26,50,,20000,TRUE
Osho,"Wagon 4",2,"Put On",27,50,,20800,TRUE
Osho,"Wagon 4",3,"Wait For Sec",35,50,,27200,TRUE
Osho,"Wagon 4",4,"Get From",27,50,,20800,TRUE
Osho,"Wagon 5",9,"Set Interlock Timer",150,0,UNKNOWN,0,TRUE
Shree_Vinayak,"Wagon 7",12,"Get From",64,10,Low,11200,TRUE
Shree_Vinayak,"Wagon 7",13,"Get From",63,20,High,12000,TRUE
Swastid,"Wagon 1",1,"Get From",8,,High,19280,TRUE
Swastid,"Wagon 1",2,"Put On",9,,High,21008,TRUE
Swastid,"Wagon 1",3,"Get From",6,,High,16125,TRUE
Osho,"Wagon 5",10,"Wait For Int",13,50,,9600,TRUE
Swastid,"Wagon 1",4,"Put On",7,,Low,17676,TRUE
Swastid,"Wagon 1",5,"Wait For Sec",9,,High,21008,TRUE
Swastid,"Wagon 1",6,"Get From",7,,Low,17676,TRUE
Swastid,"Wagon 1",7,"Put On",8,,High,19280,TRUE
Swastid,"Wagon 1",8,"Get From",2,,High,5246,TRUE
Swastid,"Wagon 1",9,"Put On",6,,High,16125,TRUE
Swastid,"Wagon 1",10,"Wait For Sec",10,,Low,22517,TRUE
Swastid,"Wagon 1",11,"Get From",9,,High,21008,TRUE
Swastid,"Wagon 1",12,"Put On",10,,Low,22517,TRUE
Swastid,"Wagon 1",13,"Wait For Sec",9,,High,21008,TRUE
Swastid,"Wagon 1",14,"Get From",10,,Low,22517,TRUE
Swastid,"Wagon 1",15,"Wait For Int",1,,High,0,TRUE
Swastid,"Wagon 1",16,"Put On",11,,Low,23409,TRUE
Swastid,"Wagon 1",17,"Set Int",5,,High,12940,TRUE
Swastid,"Wagon 1",18,"Get From",1,,High,0,TRUE
Swastid,"Wagon 1",19,"Put On",2,,High,5246,TRUE
Swastid,"Wagon 1",20,"Put On",8,,High,19280,TRUE
Swastid,"Wagon 2",1,"Get From",12,,,24458,TRUE
Swastid,"Wagon 2",2,"Put On",13,,,25792,TRUE
Swastid,"Wagon 2",3,"Wait For Int",9,,High,21008,TRUE
Swastid,"Wagon 2",4,"Get From",16,,,29441,TRUE
Swastid,"Wagon 2",5,"Put On",17,,,30560,TRUE
Swastid,"Wagon 2",6,"Wait For Sec",9,,High,21008,TRUE
Swastid,"Wagon 2",7,"Get From",13,,,25792,TRUE
Swastid,"Wagon 2",8,"Set Int",1,,High,0,TRUE
Swastid,"Wagon 2",9,"Put On",14,,,27130,TRUE
Swastid,"Wagon 2",10,"Wait For Sec",9,,High,21008,TRUE
Swastid,"Wagon 2",11,"Get From",14,,,27130,TRUE
Swastid,"Wagon 2",12,"Set Int",2,,High,5246,TRUE
Swastid,"Wagon 2",13,"Put On",15,,,28087,TRUE
Swastid,"Wagon 2",14,"Wait For Sec",9,,High,21008,TRUE
Swastid,"Wagon 2",15,"Get From",15,,,28087,TRUE
Swastid,"Wagon 2",16,"Put On",16,,,29441,TRUE
Swastid,"Wagon 2",17,"Set Int",13,,,25792,TRUE
Swastid,"Wagon 2",18,"Wait For Int",5,,High,12940,TRUE
Swastid,"Wagon 2",19,"Get From",11,,Low,23409,TRUE
Swastid,"Wagon 2",20,"Put On",12,,,24458,TRUE
Swastid,"Wagon 2",21,"Put On",15,,,28087,TRUE
Swastid,"Wagon 3",1,"Get From",23,,,37579,TRUE
Swastid,"Wagon 3",2,"Put On",24,,,41811,TRUE
Swastid,"Wagon 3",2,"Put On",24,,,41811,TRUE
Swastid,"Wagon 3",3,"Get From",17,,,30560,TRUE
Swastid,"Wagon 3",4,"Put On",18,,,32087,TRUE
Swastid,"Wagon 3",5,"Wait For Sec",10,,Low,22517,TRUE
Osho,"Wagon 5",11,"Get From",38,50,,29600,TRUE
Swastid,"Wagon 3",6,"Get From",18,,,32087,TRUE
Swastid,"Wagon 3",7,"Set Int",9,,High,21008,TRUE
Swastid,"Wagon 3",8,"Put On",19,,Low,33035,TRUE
Swastid,"Wagon 3",9,"Wait For Sec",20,,Low,33991,TRUE
Swastid,"Wagon 3",10,"Get From",19,,Low,33035,TRUE
Swastid,"Wagon 3",11,"Put On",20,,Low,33991,TRUE
Swastid,"Wagon 3",12,"Wait For Sec",20,,Low,33991,TRUE
Swastid,"Wagon 3",13,"Get From",20,,Low,33991,TRUE
Swastid,"Wagon 3",14,"Put On",21,,Low,35333,TRUE
Swastid,"Wagon 3",15,"Wait For Sec",60,0,Medium,0,TRUE
Swastid,"Wagon 3",16,"Get From",21,,Low,35333,TRUE
Swastid,"Wagon 3",17,"Put On",22,,,36655,TRUE
Swastid,"Wagon 3",18,"Wait For Sec",20,,Low,33991,TRUE
Swastid,"Wagon 3",19,"Get From",22,,,36655,TRUE
Swastid,"Wagon 3",20,"Put On",23,,,37579,TRUE
Swastid,"Wagon 4",1,"Get From",37,,,17546,TRUE
Swastid,"Wagon 4",2,"Put On",38,,,15739,TRUE
Swastid,"Wagon 4",3,"Get From",25,,,37404,TRUE
Swastid,"Wagon 4",4,"Put On",30,,,28386,TRUE
Swastid,"Wagon 4",5,"Get From",24,,,41811,TRUE
Swastid,"Wagon 4",5,"Get From",24,,,41811,TRUE
Swastid,"Wagon 4",6,"Put On",25,,,37404,TRUE
Swastid,"Wagon 4",7,"Get From",31,,,26608,TRUE
Swastid,"Wagon 4",8,"Put On",34,,,21409,TRUE
Swastid,"Wagon 4",9,"Get From",34,,,21409,TRUE
Swastid,"Wagon 4",10,"Put On",35,,,20056,TRUE
Swastid,"Wagon 4",11,"Wait For Sec",30,,,28386,TRUE
Swastid,"Wagon 4",12,"Get From",35,,,20056,TRUE
Swastid,"Wagon 4",13,"Put On",36,,,19067,TRUE
Swastid,"Wagon 4",14,"Get From",36,,,19067,TRUE
Swastid,"Wagon 4",15,"Put On",37,,,17546,TRUE
Swastid,"Wagon 4",16,"Get From",30,,,28386,TRUE
Swastid,"Wagon 4",17,"Put On",31,,,26608,TRUE
Swastid,"Wagon 4",18,"Put On",36,,,19067,TRUE
Swastid,"Wagon 5",1,"Get From",41,,,11813,TRUE
Swastid,"Wagon 5",2,"Put On",42,,,10601,TRUE
Swastid,"Wagon 5",3,"Wait For Sec",9,,High,21008,TRUE
Swastid,"Wagon 5",4,"Get From",42,,,10601,TRUE
Swastid,"Wagon 5",5,"Put On",43,,,9334,TRUE
Swastid,"Wagon 5",6,"Wait For Sec",9,,High,21008,TRUE
Swastid,"Wagon 5",7,"Get From",43,,,9334,TRUE
Swastid,"Wagon 5",8,"Put On",44,,,8390,TRUE
Swastid,"Wagon 5",9,"Wait For Sec",9,,High,21008,TRUE
Swastid,"Wagon 5",10,"Get From",44,,,8390,TRUE
Swastid,"Wagon 5",11,"Put On",45,,,7142,TRUE
Swastid,"Wagon 5",12,"Wait For Sec",9,,High,21008,TRUE
Swastid,"Wagon 5",13,"Get From",45,,,7142,TRUE
Swastid,"Wagon 5",14,"Put On",46,,,5576,TRUE
Swastid,"Wagon 5",15,"Wait For Sec",5,,High,12940,TRUE
Swastid,"Wagon 5",16,"Get From",47,,,2971,TRUE
Swastid,"Wagon 5",17,"Put On",48,,,0,TRUE
Swastid,"Wagon 5",18,"Get From",46,,,5576,TRUE
Swastid,"Wagon 5",19,"Wait For Sec",5,,High,12940,TRUE
Swastid,"Wagon 5",20,"Put On",47,,,2971,TRUE
Swastid,"Wagon 5",21,"Get From",38,,,15739,TRUE
Swastid,"Wagon 5",22,"Put On",39,,,14108,TRUE
Swastid,"Wagon 5",23,"Get From",39,,,14108,TRUE
Swastid,"Wagon 5",24,"Put On",40,,,12773,TRUE
Swastid,"Wagon 5",25,"Wait For Sec",9,,High,21008,TRUE
Swastid,"Wagon 5",26,"Get From",40,,,12773,TRUE
Swastid,"Wagon 5",27,"Put On",41,,,11813,TRUE
Prius,"Wagon 1",1,"Get From",14,,,16100,TRUE
Prius,"Wagon 1",2,"Put On",18,,,20700,TRUE
Osho,"Wagon 5",14,"Wait Interlock Timer",150,0,UNKNOWN,0,TRUE
Prius,"Wagon 1",3,"Get From",1,,High,1150,TRUE
Prius,"Wagon 1",4,"Put On",2,,High,2300,TRUE
Prius,"Wagon 1",5,"Get From",10,,Low,11500,TRUE
Prius,"Wagon 1",6,"Put On",11,,Low,12650,TRUE
Prius,"Wagon 1",7,"Wait For Sec",10,,Low,11500,TRUE
Prius,"Wagon 1",8,"Get From",11,,Low,12650,TRUE
Prius,"Wagon 1",9,"Put On",12,,,13800,TRUE
Prius,"Wagon 1",10,"Wait For Sec",10,,Low,11500,TRUE
Prius,"Wagon 1",11,"Get From",12,,,13800,TRUE
Prius,"Wagon 1",12,"Put On",13,,,14950,TRUE
Prius,"Wagon 1",13,"Get From",3,,High,3450,TRUE
Prius,"Wagon 1",14,"Put On",5,,High,5750,TRUE
Prius,"Wagon 1",15,"Get From",2,,High,2300,TRUE
Prius,"Wagon 1",16,"Put On",3,,High,3450,TRUE
Prius,"Wagon 1",17,"Get From",5,,High,5750,TRUE
Prius,"Wagon 1",18,"Put On",6,,High,6900,TRUE
Prius,"Wagon 1",19,"Wait For Sec",10,,Low,11500,TRUE
Prius,"Wagon 1",20,"Get From",6,,High,6900,TRUE
Prius,"Wagon 1",21,"Put On",7,,Low,8050,TRUE
Prius,"Wagon 1",22,"Wait For Sec",10,,Low,11500,TRUE
Prius,"Wagon 1",23,"Get From",7,,Low,8050,TRUE
