seq_id,project_id,wagon_no,step_no,command,station_no,wait_sec,critical_status,total_time_sec,valid
4,4,Wagon 3,3,Get From,17,50,,12800,TRUE
4,4,Wagon 3,4,Put On,18,50,,13600,TRUE
4,4,Wagon 3,5,Get From,19,50,Low,14400,TRUE
4,4,Wagon 3,6,Put On,20,50,Low,15200,TRUE
4,4,Wagon 3,7,Set Int,11,50,Low,8000,TRUE
4,4,Wagon 3,8,Get From,21,50,Low,16000,TRUE
4,4,Wagon 3,9,Put On,22,50,,16800,TRUE
4,4,Wagon 3,10,Get From,22,50,,16800,TRUE
4,4,Wagon 3,11,Put On,23,50,,17600,TRUE
4,4,Wagon 3,12,Wait For Int,16,50,,12000,TRUE
4,4,Wagon 3,13,Get From,23,50,,17600,TRUE
4,4,Wagon 3,14,Put On,24,50,,18400,TRUE
4,4,Wagon 3,15,Wait For Int,7,50,Low,4800,TRUE
4,4,Wagon 3,16,Get From,30,50,,23200,TRUE
4,4,Wagon 3,17,Set Int,12,50,,8800,TRUE
4,4,Wagon 3,18,Put On,16,50,,12000,TRUE
4,4,Wagon 3,19,Wait For Sec,36,50,,28000,TRUE
4,4,Wagon 3,20,Get From,16,50,,12000,TRUE
4,4,Wagon 3,21,Put On,14,50,,10400,TRUE
4,4,Wagon 3,22,Put On,20,50,Low,15200,TRUE
4,4,Wagon 4,1,Get From,26,50,,20000,TRUE
4,4,Wagon 4,2,Put On,27,50,,20800,TRUE
4,4,Wagon 4,3,Wait For Sec,35,50,,27200,TRUE
4,4,Wagon 4,4,Get From,27,50,,20800,TRUE
4,4,Wagon 5,9,Set Interlock Timer,150,0,UNKNOWN,0,TRUE
4,4,Wagon 5,10,Wait For Int,13,50,,9600,TRUE
4,4,Wagon 5,11,Get From,38,50,,29600,TRUE
4,4,Wagon 5,14,Wait Interlock Timer,150,0,UNKNOWN,0,TRUE
4,4,Wagon 5,15,Get From,40,50,,30400,TRUE
4,4,Wagon 5,16,Put On,38,50,,29600,TRUE
4,4,Wagon 1,1,Get From,9,50,High,6400,TRUE
